Battery size (kWh),Solar scaling (%),Buy Electricity price (CHF/kWh),Sell PV price (CHF/kWh),Price type selection,Price peak power (CHF/kW max year/year),Battery C rate (-),Battery SOC for backup (%),Level of peak shaving (%),Battery SOC for peak shaving (%),Dataset choice,Self-consumption ratio with storage (%),Autarky ratio with storage (%),PV sell revenue with storage (CHF),Cost Buying Electricity with storage(CHF),Bill with storage (CHF),Gain of storage (CHF),Total gain of solar and storage (CHF),Throughput Energy (kWh),Number of equivalent 80% DOD cycles,Battery total price (CHF),Battery variable price (CHF/kWh),Cost of storage over 15 years (ct/kWh),Peak grid consumption with batt (kW),Reference grid injection (kWh),Reference grid consumption (kWh),Reference self-consumption (%),Reference autarky (%)
35.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,93.04114290707555,44.66472632101855,79.96836888968579,2777.127310901319,2697.1589420116334,343.93346569322875,2321.569847534741,3350.324692347221,119.65445329811503,16166.666666666668,433.33333333333337,32.16935302538369,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
30.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,92.3147871908453,44.314369882747734,88.31535476466404,2794.710750334846,2706.3953955701822,334.6970121346799,2312.333393976192,3281.639382060008,136.7349742525003,14833.333333333336,461.1111111111112,30.133990172562058,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
25.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,90.71605553681486,43.55195442558843,106.68733179450041,2832.974314379251,2726.2869825847506,314.8054251201115,2292.4418069616236,3132.1723350115494,156.60861675057745,13222.222222222223,488.8888888888889,28.14281550310134,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
20.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,87.53381615058781,42.04158316834522,143.2563387068335,2908.7757514955497,2765.519412788716,275.57299491614594,2253.209376757658,2836.0729712760085,177.25456070475053,11333.333333333336,516.6666666666667,26.64090674703675,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
17.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,84.84668322896098,40.76797855738543,174.1357825383159,2972.6945127707795,2798.5587302324634,242.53367747239872,2220.1700593139108,2586.3903100446437,190.17575809151793,10066.666666666668,533.3333333333334,25.94778941541608,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
16.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,83.82489103680965,40.28389034446189,185.87780480712206,2996.9895872795737,2811.1117824724515,229.9806252324106,2207.6170070739227,2491.487675244665,194.64747462848942,9622.222222222223,538.8888888888889,25.746925736587794,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
15.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,82.75447422893204,39.77683472656783,198.17860147747058,3022.4373335538357,2824.258732076365,216.83367562849708,2194.470057470009,2392.0824163608304,199.34020136340254,9166.666666666668,544.4444444444445,25.547243143938942,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
14.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,81.59696421228003,39.22864140575874,211.48023804926493,3049.949669567651,2838.469431518386,202.62297618647608,2180.259358027988,2284.6123538068623,203.98324587561268,8700.0,550.0,25.387239066336253,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
13.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,80.3628046402158,38.64424334885727,225.66270028547297,3079.2790230949145,2853.6163228094415,187.47608489542063,2165.1124667369327,2170.0445665909897,208.65813140297976,8222.222222222223,555.5555555555557,25.259764549870795,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
12.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,79.07595935438027,38.03495966342647,240.45060541809593,3109.8573188256396,2869.4067134075435,171.6856942973186,2149.3220761388307,2050.598098892844,213.60396863467125,7733.333333333334,561.1111111111112,25.141716255072776,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
11.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,77.7326136527628,37.39898850888386,255.88779045851697,3141.77498625188,2885.887195793363,155.2052119114992,2132.8415937530112,1925.9197105090946,218.85451255785165,7233.333333333334,566.6666666666667,25.038542343738328,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
10.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,76.34095691256792,36.74019806474935,271.8801463988159,3174.8378919344395,2902.957745535624,138.13466216923825,2115.7710440107503,1796.767735186597,224.5959668983246,6722.222222222223,572.2222222222223,24.941907591723716,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
9.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,74.89616464555733,36.056309526892726,288.48311430496005,3209.160402872257,2920.6772885672967,120.4151191375654,2098.0515009790774,1662.6954268357479,230.92992039385385,6200.0,577.7777777777778,24.859233186197073,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
8.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,73.42207574494401,35.3585829845979,305.4227472657078,3244.1774057227135,2938.7546584570055,102.33774924785666,2079.9741310893687,1525.91025945115,238.42347803924218,5666.666666666667,583.3333333333334,24.75753573566374,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
7.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,71.88428564158147,34.63076774548156,323.0944086633301,3280.7044786629517,2957.6100699996214,83.48233770524075,2061.118719546753,1383.2263807783454,247.00471085327595,5122.222222222223,588.8888888888889,24.68731700224868,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
6.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,70.27198428350712,33.86775777759941,341.6223232392633,3318.9978795881625,2977.3755563488994,63.71685135596272,2041.3532331974748,1233.6427834142414,257.0089132113003,4566.666666666667,594.4444444444445,24.678492715846083,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
5.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House4.csv,68.5654071964649,33.06021750724068,361.23361633134857,3359.526135623835,2998.2925192924868,42.79988841237537,2020.4362702538874,1075.3292832748937,268.8323208187234,4000.0,600.0,24.798605488966015,10.7598933333,4507.041344666875,13851.097805888874,56.073232563453935,29.347028161925202
